danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,,,,,,,,
0.299,0.381,3,-6.951,0,0.038,0.445,0.0023,0.0932,0.0392,136.462,Dark Trap,,,,,,,,
0.644,0.64,8,-7.877,1,0.0688,0.00329,0,0.146,0.175,217.888,Dark Trap,,,,,,,,
0.473,0.843,1,-5.981,1,0.225,0.00345,2.53E-05,0.102,0.24,143.294,Dark Trap,,,,,,,,
0.471,0.618,10,-9.965,0,0.108,0.0219,0.00664,0.16,0.0392,110.337,Dark Trap,,,,,,,,
0.665,0.446,1,-14.845,1,0.172,0.069,1.88E-05,0.323,0.117,115.282,Dark Trap,,,,,,,,
0.812,0.707,10,-6.815,0,0.0752,0.236,0,0.587,0.248,219.984,Dark Trap,,,,,,,,
0.262,0.897,4,-2.712,0,0.398,0.0237,0,0.11,0.253,199.651,Dark Trap,,,,,,,,
0.571,0.865,8,-4.99,1,0.0397,0.0042,0.207,0.0906,0.177,150.017,Dark Trap,,,,,,,,
0.753,0.679,5,-7.092,0,0.0349,0.324,4.21E-05,0.423,0.19,211.954,Dark Trap,,,,,,,,
0.935,0.429,1,-6.697,1,0.118,0.0308,0,0.102,0.0769,139.987,Dark Trap,,,,,,,,
0.726,0.634,2,-6.844,1,0.0792,0.553,4.43E-06,0.0916,0.318,211.95,Dark Trap,,,,,,,,
0.854,0.98,1,-1.181,1,0.0569,0.263,0.00053,0.548,0.255,220.002,Dark Trap,,,,,,,,
0.526,0.62,8,-7.244,0,0.281,0.067,0.000241,0.139,0.187,112.027,Dark Trap,,,,,,,,
0.84,0.444,3,-10.58,0,0.211,0.532,0.000884,0.0623,0.376,131.999,Dark Trap,,,,,,,,
0.818,0.576,0,-7.588,0,0.162,0.29,0,0.105,0.285,192.378,Dark Trap,,,,,,,,
0.881,0.903,8,-0.955,1,0.0813,0.267,0.00253,0.109,0.272,119.994,Dark Trap,,,,,,,,
